1;Chorley Park Study;You are in the third floor private study of Chorley Park. A quiet retreat complete with oak panelling, portraits of governors of a time long forgotten, a wing-tipped leather chair paired with an ornate wooden side table comfortably positioned to look out the window with view of the lush ravine lands. The only exit is a tight staircase leading down to the second level of the manse. ;1
2;Chorley Park Library Hall;You are in the library hall of Chorley Park with balcony view of the great hall below. Adjacent rooms lead to specific libraries of the new era technology and engineering. There is a tight staircase leading up and a grand stairway leading down to the hall proper.;25
3;Chorley Park Great Hall;You are in Chorley Park's Great Hall. At one time this room welcomed diplomats, foreign ministers, luminaries of higher learning, and heads of state, before the Age of Digital met its demise. Today it is a dusty reminder of days long past. There is a stairway leading up to the libraries of the second floor. The exit to the gardens is to the west.;90
4;Library of Mechanics;You are in the Library of Mechanics. Leather bound books and instruments demonstrating motion by steam, solar, and winding mechanics adorn the shelves. The library hall is to the south.;50
5;Chorley Park Front Gardens;You are in the grand front gardens of the mansion. Lush flowers and topiaries border the moonlit interlock pathway that leads out to the Roxborough street path westward by the steam-powered mechanical horse and carriage shuttle service.;25
6;Rebellion House on Yonge; You are standing in front of the famous Rebellion House tavern on Yonge Street. Its entrance is to the west, while Yonge St. extends north and south from here. A mechanical steam-powered horse and carriage shuttle service waits here to take weary travellers to Chorley Park.;40
7;Rosedale Station;You are standing inside the Rosedale TTC station. A rusted automaton token collector scans the premises for fare jumpers. There is a stairway leading down to the subway platform.;10
8;Rosedale Subway Platform;You are on the Rosedale subway platform. The departure board clatters over to the next service, and warm sulphurous air rolls up the tunnel ahead of it. A condensing locomotive stands hissing at the head of four varnished carriages, brasswork polished, gas mantles lit behind the glass. A guard automaton walks the platform edge, calling passengers back from the yellow line. From here you can travel north to Summerhill or south to Bloor by train, or take the stairway back up to the station.;30
9;Rebellion House (main floor); You are in the famed Rebellion House tavern. There is an ornate bar and a studious group of patrons sitting and discussing the issues of the day. There is a stairwell in the back that leads to the upper level.;5
10;Rebellion House (upper floor); You are on the upper level of the Rebellion House Tavern. It features a roaring fireplace with some wingback chairs where patrons can unwind. There is a stairwell in the back that leads back down to the main floor.;25
11;Five Thieves;You are on the Yonge street main strip by the Five Thieves in front of the All the Finest Potions Apothecary. Its entrance is to the east. You can also continue north and south along Yonge st.;15
12;All the Finest Potions Apothecary;You are inside the famed All the Finest Potions Apothecary, one of the Five Thieves.;5
13;Five Thieves;You are on the Yonge street main strip by the Five Thieves in front of Harvest Metalworks. Its entrance is to the east. You can also continue north and south along Yonge st.;15
14;Harvest Metalworks;You are inside Harvest Metalworks, a metal and antique specialty store, and one of the Five Thieves.;5
15;Five Thieves;You are on the Yonge street main strip by the Five Thieves in front of Aries Haberdashery. Its entrance is to the east. You can also continue north and south along Yonge st.;15
16;Aries Haberdashery;You are inside Aries Haberdashery, a purveyor of fine articles of clothing, one of the Five Thieves.;5
17;Five Thieves;You are on the Yonge street main strip by the Five Thieves in front of Olaff's Millinery. Its entrance is to the east. You can also continue north and south along Yonge st.;15
18;Olaff's Millinery;You are inside Olaff's Millinery, one of the Five Thieves.;5
19;Five Thieves;You are on the Yonge street main strip by the Five Thieves in front of Patachou of Versailles. Its entrance is to the east. This is the top of the strip - Yonge street continues north toward the railway lands and south along the shopfronts.;15
20;Patachou of Versailles; You are inside Patachou of Versailles, a jewelry and luxury goods store.;5
21;Ramsden Park;You are on the Yonge street path where it skirts Ramsden Park. The old brickyard clay pits have long since been filled and planted over, and gas lamps trace the gravel walks that wander between them. A groundskeeper's boiler shed vents softly into the cold, and something unseen moves in the hedgerows. Rosedale station lies north, and Yonge street continues south.;45
22;Yonge and Asquith;You are on Yonge street at Asquith, before the broad steps of the Reference Library. Brass letters above the doors read KNOWLEDGE OUTLIVES THE MACHINE, and lamplight spills from the tall windows onto the wet pavement. A queue of hooded scholars waits to be admitted. The library entrance is to the east. Yonge street runs north and south.;20
23;The Reference Library;You are in the Great Atrium of the Reference Library, five brass-railed tiers of shelving rising around a still pool of lamplight. This is the largest hoard of paper left in the city - everything the Age of Digital was careless enough to entrust to glass and current died with it, and what stands here is all that remains of the rest. Clerk automatons glide the upper tiers on rails, refiling by touch alone. A brass stair spirals up around the pool toward the tiers above. The doors to Yonge street are west.;5
47;Reference Library - First Tier;You climb the first tier of the atrium gallery, close enough now to reach the rails and look down into the pool of lamplight below. Periodicals and gazettes line the shelves, decades of newsprint gone brittle and brown, chained to their reading stands against theft. A pneumatic tube system clatters overhead, ferrying request slips up to the higher tiers. The stair continues up, or descends to the atrium floor.;15
48;Reference Library - Second Tier;The second tier holds the sciences - steam theory, telegraphy, and the last surviving engineering journals from before the collapse. A clerk automaton reads shelf labels with a brass eye on a jointed stalk, murmuring call numbers to itself. The stair continues up to the third tier, or descends to the first.;20
49;Reference Library - Third Tier;Here the shelving turns to history and philosophy, volumes bound in cracked leather and stamped with the seals of institutions that no longer exist. A reading alcove overlooks the atrium through a brass rail, its chairs still angled toward the light far below. The stair continues up, or descends to the second tier.;20
50;Reference Library - Fourth Tier;The fourth tier is caged, iron latticework floor to ceiling and locked with a set of tumblers rather than a single key. Behind the bars sit the rare holdings: pre-collapse manuscripts, a handful of salvaged hard drives sealed in glass like reliquaries, and ledgers the librarians will not say more about. The stair continues up to the fifth tier, or descends to the third.;30
51;Reference Library - Fifth Tier;At the top of the atrium, beneath a skylight of leaded glass, a room-sized analytical engine turns over card after punched card - the librarians' decades-long effort to reconstruct what the Age of Digital lost when the current died. Nobody has finished a single file. The stair descends through all five tiers to the atrium floor.;25
24;The Great Crossing;You are at the Great Crossing, where Yonge street meets Bloor. Four corners of soot-darkened stone, a clock tower whose four faces no longer agree with one another, and the awnings of the great emporium running the length of the block opposite. Steam drays and hand-carts contest the intersection at all hours. Yonge street runs north, Bloor street west toward the Mink Mile, and a wide stair descends to the Bloor-Yonge interchange.;40
25;Bloor-Yonge Interchange;You are on the deep platform level of Bloor-Yonge, where the Yonge line crosses beneath the Bloor line - the busiest junction on the system and the loudest room beneath the city. Cream and maroon tilework, blow-off gratings venting steam up into the street above, and a signal gantry of brass levers worked by an automaton in Commission livery. Locomotives come and go in a fog of smoke and coal-smell, couplings ringing down the length of the train. From here you can travel north to Rosedale or south to Wellesley by train. The stairs lead up to the Great Crossing.;25
26;The Mink Mile;You are on Bloor street west of Yonge, on the stretch the merchants still call the Mink Mile. Plate glass, furriers, and window displays lit warm against the dark - the sort of goods that only exist where old money came through the collapse intact. A doorman automaton in a braided greatcoat holds the door to Voss & Blackwood, a furrier, to the north, and looks you over without comment. Bloor street continues east to the Great Crossing and west along the Mink Mile.;25
38;The Mink Mile;You continue west along the Mink Mile. A pharmacist's lamp burns green in a window to the north, marked THE IVY CROSS DISPENSARY in gilt lettering. Bloor street continues east back toward the Great Crossing and west along the Mink Mile.;25
39;Voss & Blackwood Furriers;You are inside Voss & Blackwood Furriers, its window display a wall of sealskin and ermine catching the gaslight. The doorman automaton stands sentry just inside, saying nothing. The door south leads back out to the Mink Mile.;5
40;The Mink Mile;The street narrows here, awnings meeting nearly overhead. Warm light and the smell of roasting game spill from a doorway to the north beneath a brass sign reading THE ALDERNEY ROOM. Bloor street continues east and west along the Mink Mile.;25
41;The Ivy Cross Dispensary;You are inside the Ivy Cross Dispensary, a narrow room of dark wood cabinets and glass bottles, warmed by a single low fire. The air smells of camphor and rosewater. The door south leads back out to the Mink Mile.;5
42;The Mink Mile;A haze of pipe smoke and rosewater drifts from a shopfront to the north, its window crowded with humidors and cut-glass bottles - STERLING & VANE, the sign reads. Bloor street continues east and west along the Mink Mile.;25
43;The Alderney Room;You are inside the Alderney Room, a supper club of white linen and low candlelight, waiters moving between the tables without seeming to hurry. The door south leads back out to the Mink Mile.;5
44;The Mink Mile;The last of the shopfronts before the street opens onto the church square. A window to the north displays articulated brass limbs and a rack of goggles - GRIEVE & SONS, CLOCKWORK OUTFITTERS. Bloor street continues east along the Mink Mile and west toward the Church of the Redeemer.;25
45;Sterling & Vane, Tobacconists and Perfumers;You are inside Sterling & Vane, shelves of cigar boxes and stoppered perfume bottles rising to the ceiling on a rolling ladder. The door south leads back out to the Mink Mile.;5
46;Grieve & Sons, Clockwork Outfitters;You are inside Grieve & Sons, workbenches cluttered with gears, leather straps, and half-finished prosthetics. Old Mr. Grieve does not look up from his work. The door south leads back out to the Mink Mile.;5
27;The Church of the Redeemer;You are at Bloor and Avenue road, in the shadow of the Church of the Redeemer. Gothic stone, a slate roof gone green with age, and a bell that is rung by hand now because the striking mechanism was sold for scrap in the lean years. The rectory keeps a lamp burning in the porch for anyone caught out after dark. The church doors stand open to the north. Bloor street runs east to the Mink Mile and west toward Queen's Park.;20
57;The Narthex;You step through the tall oak doors into the narthex of the Church of the Redeemer, out of the wind and into a hush of cold stone and guttering candlelight. A visitors' book lies open on a stand, its last entry dated years ago. Doors ahead lead into the nave. The street doors are behind you to the south.;5
